speed,speed_cal_t,position,target_position,angle,angle_cal_t,PID_cal_t
"None","3.1699400413034384","5.44","0.06","0.01","0.0009975433349609375"
"None","3.1699124656543805","6.85","0.1","0.01","0.0009989738464355469"
"30","0.0009996891021728516","3.169869853990582","7.17","0.11","0.01","0.0020055770874023438"
"30","0.0009982585906982422","3.169827286390651","7.2","0.11","0.01","0.001996278762817383"
"30","0.0","3.1697890529713164","7.15","0.11","0.01","0.0009970664978027344"
"30","0.0009968280792236328","3.1697546830203596","7.11","0.1","0.01","0.0020301342010498047"
"30","0.0","3.169728479675625","7.21","0.11","0.01","0.000997304916381836"
"30","0.0","3.1697003603006375","6.83","0.1","0.01","0.000997304916381836"
"30","0.000997304916381836","3.1696799909621807","7.11","0.1","0.01","0.000997304916381836"
"30","0.0009975433349609375","3.16986682974592","7.18","0.11","0.01","0.0009975433349609375"
"30","0.0009963512420654297","3.1700902643501783","7.12","0.1","0.01","0.0019936561584472656"
"30","0.0009975433349609375","3.1705171740915974","7.12","0.1","0.01","0.001994609832763672"
"30","0.0009980201721191406","3.1709397510488695","7.13","0.11","0.01","0.0009980201721191406"
"30","0.0","3.1715378625633606","7.22","0.11","0.01","0.0009975433349609375"
"30","0.0","3.17232217611335","7.15","0.11","0.01","0.0009975433349609375"
"30","0.0","3.1732649240456525","7.21","0.11","0.01","0.0009980201721191406"
"30","0.0010325908660888672","3.1743421097195466","7.15","0.11","0.01","0.0020296573638916016"
"30","0.0","3.175540026457699","7.14","0.11","0.01","0.000995635986328125"
"30","0.0019960403442382812","3.176853130905174","7.13","0.1","0.01","0.002991914749145508"
"30","0.0019941329956054688","3.178294817077205","7.12","0.1","0.01","0.0029909610748291016"
"30","0.0","3.1798370572276893","7.1","0.1","0.01","0.000997304916381836"
"30","0.001995563507080078","3.1814734214884384","7.23","0.11","0.01","0.0029921531677246094"
"30","0.0009698867797851562","3.183190162483199","7.22","0.11","0.01","0.0019948482513427734"
"30","0.0","3.1850195573713846","7.14","0.1","0.01","0.0009963512420654297"
"30","0.0","3.186985442163991","7.17","0.11","0.01","0.0009970664978027344"
"30","0.0009980201721191406","3.1890426593827583","7.27","0.11","0.01","0.0009980201721191406"
"30","0.0009918212890625","3.1912122523808417","6.97","0.1","0.01","0.0019881725311279297"
"30","0.0010209083557128906","3.19351495841118","6.87","0.1","0.01","0.0010209083557128906"
"30","0.0","3.1959186071099697","7.13","0.1","0.01","0.0009980201721191406"
"30","0.000997781753540039","3.198413085988847","7.2","0.11","0.01","0.0019948482513427734"
"30","0.0","3.200982011334327","7.18","0.11","0.01","0.0009949207305908203"
"30","0.000997304916381836","3.2036617168405157","7.15","0.1","0.01","0.0029914379119873047"
"30","0.0009970664978027344","3.2064790757616666","7.22","0.11","0.01","0.0009970664978027344"
"30","0.0009965896606445312","3.2093841377612895","7.2","0.11","0.01","0.0019936561584472656"
"30","0.0009975433349609375","3.2124010832601453","7.12","0.1","0.01","0.003072023391723633"
"30","0.0009987354278564453","3.2155535533621786","6.81","0.1","0.01","0.0019953250885009766"
"30","0.0009970664978027344","3.2188055898041936","7.17","0.1","0.01","0.0020284652709960938"
"30","0.0010023117065429688","3.222145720023999","7.82","0.12","0.01","0.001995563507080078"
"30","0.0009984970092773438","3.2255413856825776","7.15","0.1","0.01","0.0019958019256591797"
"30","0.0","3.22910571799152","7.18","0.1","0.01","0.000997781753540039"
"30","0.0009980201721191406","3.232784835171668","7.23","0.11","0.01","0.001995086669921875"
"30","0.000997781753540039","3.2365420649971637","7.18","0.1","0.01","0.001995086669921875"
"30","0.000997304916381836","3.240429033176724","7.21","0.11","0.01","0.000997304916381836"
"30","0.0","3.244402110370725","6.94","0.1","0.01","0.0009968280792236328"
"30","0.0009975433349609375","3.248510553004909","7.21","0.11","0.01","0.002002716064453125"
"30","0.0","3.2527079530509897","7.1","0.1","0.01","0.0009975433349609375"
"30","0.000997304916381836","3.257043255193067","7.22","0.11","0.01","0.001995563507080078"
"30","0.0009999275207519531","3.26146918464158","7.17","0.1","0.01","0.0029935836791992188"
"30","0.0020041465759277344","3.2660354123671587","7.2","0.1","0.01","0.003990650177001953"
"30","0.0009987354278564453","3.2707098276544335","7.18","0.1","0.01","0.0009987354278564453"
"30","0.0009984970092773438","3.2754821890887866","7.1","0.1","0.01","0.0019958019256591797"
"30","0.0009975433349609375","3.2803521319118754","5.53","0.06","0.01","0.001994609832763672"
"30","0.0015401840209960938","3.2853846509164693","5.15","0.05","0.01","0.0025260448455810547"
"30","0.0010242462158203125","3.2904124728087982","5.45","0.06","0.01","0.0010242462158203125"
"30","0.000997304916381836","3.2953211053530147","5.21","0.06","0.01","0.000997304916381836"
"30","0.000997781753540039","3.300148052095203","5.27","0.06","0.01","0.001995086669921875"
"30","0.0009958744049072266","3.304928748993533","5.19","0.06","0.01","0.0019927024841308594"
"30","0.0010330677032470703","3.309687685502933","5.14","0.05","0.01","0.0010330677032470703"
"30","0.0","3.314454209154299","5.25","0.06","0.01","0.0009970664978027344"
"30","0.0","3.319171368714868","5.23","0.06","0.01","0.0009975433349609375"
"30","0.0009982585906982422","3.3238796295730633","5.21","0.06","0.01","0.00202178955078125"
"30","0.0009970664978027344","3.328598952176248","5.2","0.05","0.01","0.001993894577026367"
"30","0.0009984970092773438","3.3333538554559285","5.23","0.06","0.01","0.001995563507080078"
"30","0.0009970664978027344","3.3380821113149293","5.17","0.05","0.01","0.0019943714141845703"
